,regionid,productgroup,yearweek,volume
0,A01,ST0001,201415,810144
1,A01,ST0001,201418,671464
2,A01,ST0001,201413,470040
3,A01,ST0001,201411,524787
4,A01,ST0001,201416,764927
5,A01,ST0001,201419,682757
6,A01,ST0001,201414,428195
7,A01,ST0001,201412,486509
8,A01,ST0001,201417,697502
9,A01,ST0001,201407,620392
10,A01,ST0001,201410,511679
11,A01,ST0001,201402,438251
12,A01,ST0001,201405,482381
13,A01,ST0001,201408,571781
14,A01,ST0001,201403,420290
15,A01,ST0001,201406,570412
16,A01,ST0001,201409,569545
17,A01,ST0001,201401,513598
18,A01,ST0001,201404,458431
19,A01,ST0001,201438,693449
20,A01,ST0001,201433,679332
21,A01,ST0001,201441,624735
22,A01,ST0001,201436,826981
23,A01,ST0001,201439,636169
24,A01,ST0001,201434,846123
25,A01,ST0001,201432,677509
26,A01,ST0001,201437,717281
27,A01,ST0001,201440,647135
28,A01,ST0001,201435,833345
29,A01,ST0001,201425,618699
30,A01,ST0001,201428,587529
31,A01,ST0001,201423,610479
32,A01,ST0001,201426,586721
33,A01,ST0001,201431,671138
34,A01,ST0001,201421,620290
35,A01,ST0001,201429,620882
36,A01,ST0001,201424,589613
37,A01,ST0001,201427,599043
38,A01,ST0001,201422,603104
39,A01,ST0001,201430,643984
40,A01,ST0001,201452,1197170
41,A01,ST0001,201453,757241
42,A01,ST0001,201443,627906
43,A01,ST0001,201451,863189
44,A01,ST0001,201446,644949
45,A01,ST0001,201449,835398
46,A01,ST0001,201444,623132
47,A01,ST0001,201447,681873
48,A01,ST0001,201442,639179
49,A01,ST0001,201450,752613
50,A01,ST0001,201445,621592
51,A01,ST0001,201448,1103665
52,A01,ST0001,201520,645626
53,A01,ST0001,201515,810144
54,A01,ST0001,201518,671464
55,A01,ST0001,201513,470040
56,A01,ST0001,201511,524787
57,A01,ST0001,201516,764927
58,A01,ST0001,201519,682757
59,A01,ST0001,201514,428195
60,A01,ST0001,201512,486509
61,A01,ST0001,201517,697502
62,A01,ST0001,201507,620392
63,A01,ST0001,201510,511679
64,A01,ST0001,201502,438251
65,A01,ST0001,201505,482381
66,A01,ST0001,201508,571781
67,A01,ST0001,201503,420290
68,A01,ST0001,201506,570412
69,A01,ST0001,201509,569545
70,A01,ST0001,201501,513598
71,A01,ST0001,201504,458431
72,A01,ST0001,201538,693449
73,A01,ST0001,201533,679332
74,A01,ST0001,201541,624735
75,A01,ST0001,201536,826981
76,A01,ST0001,201539,636169
77,A01,ST0001,201534,846123
78,A01,ST0001,201532,677509
79,A01,ST0001,201537,717281
80,A01,ST0001,201540,647135
81,A01,ST0001,201535,833345
82,A01,ST0001,201525,618699
83,A01,ST0001,201528,587529
84,A01,ST0001,201523,610479
85,A01,ST0001,201526,586721
86,A01,ST0001,201531,671138
87,A01,ST0001,201521,620290
88,A01,ST0001,201529,620882
89,A01,ST0001,201524,589613
90,A01,ST0001,201527,599043
91,A01,ST0001,201522,603104
92,A01,ST0001,201530,643984
93,A01,ST0001,201605,661049
94,A01,ST0001,201603,531372
95,A01,ST0001,201601,651243
96,A01,ST0001,201608,671116
97,A01,ST0001,201606,881536
98,A01,ST0001,201552,1197170
99,A01,ST0001,201604,585025
100,A01,ST0001,201602,573198
101,A01,ST0001,201553,757241
102,A01,ST0001,201607,790430
103,A01,ST0001,201543,627906
104,A01,ST0001,201551,863189
105,A01,ST0001,201546,644949
106,A01,ST0001,201549,835398
107,A01,ST0001,201544,623132
108,A01,ST0001,201547,681873
109,A01,ST0001,201542,639179
110,A01,ST0001,201550,752613
111,A01,ST0001,201545,621592
112,A01,ST0001,201548,1103665
113,A01,ST0001,201623,768124
114,A01,ST0001,201621,721991
115,A01,ST0001,201626,871247
116,A01,ST0001,201619,693402
117,A01,ST0001,201624,772706
118,A01,ST0001,201622,817878
119,A01,ST0001,201620,695859
120,A01,ST0001,201618,712672
121,A01,ST0001,201625,786218
122,A01,ST0001,201612,794413
123,A01,ST0001,201610,1218194
124,A01,ST0001,201617,694920
125,A01,ST0001,201615,678467
126,A01,ST0001,201613,886427
127,A01,ST0001,201611,1011581
128,A01,ST0001,201609,635412
129,A01,ST0001,201616,658270
130,A01,ST0001,201614,739977
131,A01,ST0001,201641,746061
132,A01,ST0001,201420,645626
0,A01,ST0002,201415,128999
1,A01,ST0002,201418,134467
2,A01,ST0002,201413,140297
3,A01,ST0002,201411,145509
4,A01,ST0002,201416,140313
5,A01,ST0002,201419,128668
6,A01,ST0002,201414,137488
7,A01,ST0002,201417,127163
8,A01,ST0002,201407,146476
9,A01,ST0002,201410,153152
10,A01,ST0002,201402,123875
11,A01,ST0002,201405,180516
12,A01,ST0002,201408,156772
13,A01,ST0002,201403,114744
14,A01,ST0002,201406,139277
15,A01,ST0002,201409,141823
16,A01,ST0002,201401,155729
17,A01,ST0002,201404,137162
18,A01,ST0002,201435,149570
19,A01,ST0002,201438,132870
20,A01,ST0002,201433,150105
21,A01,ST0002,201441,127720
22,A01,ST0002,201436,210006
23,A01,ST0002,201439,129992
24,A01,ST0002,201434,168303
25,A01,ST0002,201432,134564
26,A01,ST0002,201437,195106
27,A01,ST0002,201440,139629
28,A01,ST0002,201425,128766
29,A01,ST0002,201428,142598
30,A01,ST0002,201423,125300
31,A01,ST0002,201426,135212
32,A01,ST0002,201431,140732
33,A01,ST0002,201421,132909
34,A01,ST0002,201429,154985
35,A01,ST0002,201424,139590
36,A01,ST0002,201427,184550
37,A01,ST0002,201422,143231
38,A01,ST0002,201430,133998
39,A01,ST0002,201452,422468
40,A01,ST0002,201453,232523
41,A01,ST0002,201443,124142
42,A01,ST0002,201451,356271
43,A01,ST0002,201446,184242
44,A01,ST0002,201449,669711
45,A01,ST0002,201444,133493
46,A01,ST0002,201447,378339
47,A01,ST0002,201442,136559
48,A01,ST0002,201450,294579
49,A01,ST0002,201445,155032
50,A01,ST0002,201448,1400339
51,A01,ST0002,201512,151750
52,A01,ST0002,201520,125863
53,A01,ST0002,201515,128999
54,A01,ST0002,201518,134467
55,A01,ST0002,201513,140297
56,A01,ST0002,201511,145509
57,A01,ST0002,201516,140313
58,A01,ST0002,201519,128668
59,A01,ST0002,201514,137488
60,A01,ST0002,201517,127163
61,A01,ST0002,201507,146476
62,A01,ST0002,201510,153152
63,A01,ST0002,201502,123875
64,A01,ST0002,201505,180516
65,A01,ST0002,201508,156772
66,A01,ST0002,201503,114744
67,A01,ST0002,201506,139277
68,A01,ST0002,201509,141823
69,A01,ST0002,201501,155729
70,A01,ST0002,201504,137162
71,A01,ST0002,201535,149570
72,A01,ST0002,201538,132870
73,A01,ST0002,201533,150105
74,A01,ST0002,201541,127720
75,A01,ST0002,201536,210006
76,A01,ST0002,201539,129992
77,A01,ST0002,201534,168303
78,A01,ST0002,201532,134564
79,A01,ST0002,201537,195106
80,A01,ST0002,201540,139629
81,A01,ST0002,201525,128766
82,A01,ST0002,201528,142598
83,A01,ST0002,201523,125300
84,A01,ST0002,201526,135212
85,A01,ST0002,201531,140732
86,A01,ST0002,201521,132909
87,A01,ST0002,201529,154985
88,A01,ST0002,201524,139590
89,A01,ST0002,201527,184550
90,A01,ST0002,201522,143231
91,A01,ST0002,201530,133998
92,A01,ST0002,201605,231214
93,A01,ST0002,201603,152763
94,A01,ST0002,201601,162801
95,A01,ST0002,201608,130000
96,A01,ST0002,201606,172230
97,A01,ST0002,201552,422468
98,A01,ST0002,201604,197057
99,A01,ST0002,201602,137186
100,A01,ST0002,201553,232523
101,A01,ST0002,201607,161324
102,A01,ST0002,201543,124142
103,A01,ST0002,201551,356271
104,A01,ST0002,201546,184242
105,A01,ST0002,201549,669711
106,A01,ST0002,201544,133493
107,A01,ST0002,201547,378339
108,A01,ST0002,201542,136559
109,A01,ST0002,201550,294579
110,A01,ST0002,201545,155032
111,A01,ST0002,201548,1400339
112,A01,ST0002,201623,161983
113,A01,ST0002,201621,205984
114,A01,ST0002,201626,196489
115,A01,ST0002,201619,152980
116,A01,ST0002,201624,171592
117,A01,ST0002,201622,214929
118,A01,ST0002,201620,160913
119,A01,ST0002,201618,162560
120,A01,ST0002,201625,157283
121,A01,ST0002,201612,132780
122,A01,ST0002,201610,142575
123,A01,ST0002,201617,142279
124,A01,ST0002,201615,143180
125,A01,ST0002,201613,135788
126,A01,ST0002,201611,150915
127,A01,ST0002,201616,137927
128,A01,ST0002,201609,154149
129,A01,ST0002,201614,148835
130,A01,ST0002,201412,151750
131,A01,ST0002,201420,125863
