0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
3,0,10,0,0,3,0,2,7,0,0,13,0,0,0,0,0,8,0,1,0,0,3,1,0,0,0,0
0,7,0,0,10,0,0,1,0,19,6,0,9,11,0,4,5,0,4,0,0,7,8,0,0,0,0,0
0,11,0,0,1,0,10,2,3,0,0,1,0,0,1,1,3,15,0,3,20,0,0,0,0,0,0,0
7,0,2,9,0,0,13,0,9,16,135,255,254,169,142,159,125,18,18,0,0,9,0,0,0,0,0,0
11,0,0,1,6,2,0,71,120,226,255,237,237,255,255,255,255,222,90,0,9,0,8,2,0,0,0,0
0,0,6,0,14,0,12,222,255,236,221,223,224,206,199,212,247,255,248,51,0,13,1,0,0,0,0,0
0,6,12,0,4,0,23,197,198,85,21,14,0,0,16,22,90,250,253,54,9,0,0,3,0,0,0,0
7,0,0,2,0,3,1,0,0,0,0,0,11,0,0,8,148,255,255,43,3,5,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,5,0,0,1,3,193,255,234,56,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,98,243,252,243,12,0,4,0,14,0,0,0,0
0,0,0,0,0,0,0,0,0,22,0,0,0,4,19,204,255,255,143,0,16,0,6,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,2,2,169,255,255,226,17,4,13,0,21,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,23,0,107,255,248,247,115,0,0,0,8,0,3,0,0,0,0
0,0,0,0,0,0,0,0,2,23,0,0,89,234,255,246,143,5,8,0,0,5,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,24,28,240,255,253,183,28,0,0,7,14,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,57,234,253,252,227,34,5,3,0,0,0,2,4,0,0,0,0,0
0,2,4,0,10,0,2,1,5,37,236,251,248,255,73,0,14,0,0,3,6,4,2,0,4,0,6,1
10,0,1,0,0,1,13,0,98,224,255,255,249,71,0,0,0,1,12,4,0,0,9,11,0,5,0,0
0,0,8,8,0,1,0,38,231,255,251,239,194,16,0,21,3,0,0,1,0,0,0,0,0,20,0,0
0,11,0,0,7,3,15,195,255,237,255,239,247,255,181,60,44,5,0,7,4,0,23,52,9,0,0,15
0,12,0,0,4,0,0,168,241,255,235,255,255,255,248,255,237,211,200,187,152,144,198,255,178,21,0,8
1,0,0,5,2,0,0,4,61,149,113,139,188,247,248,254,250,245,252,255,255,255,255,244,250,46,2,1
8,0,0,0,0,12,18,0,0,8,0,0,0,44,53,88,156,151,170,211,250,255,220,163,80,0,0,8
0,3,4,0,8,0,2,2,0,8,0,4,8,0,0,0,3,0,0,7,2,0,0,1,1,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
