REGIONID,REGIONNAME
A00,아프리카
A01,미국
A02,한국
A03,독일
A04,브라질
A05,아랍
A06,앙골라
A07,벨기에
A08,불가리아
A09,바레인
A10,브라질
A11,볼리비아
A12,캐나다
A13,스위스
A14,칠레
A15,중국
A16,콜롬비아
A17,코스타리카
A18,덴마크
A19,알제리
A20,이집트
A21,스페인
A22,핀란드
A23,프랑스
A24,영국
A25,가나
A26,그리스
A27,괌
A28,홍콩
A29,아이티
A30,헝가리
A31,인도네시아
A32,아일랜드
A33,이스라엘
A34,인도
A35,이란
A36,이라크
A37,이탈리아
A38,일본
A39,쿠웨이트
A40,라오스
A41,레바논
A42,모로코
A43,네덜런드
A44,멕시코
A45,네팔
A46,뉴질랜드
A47,필리핀
A48,폴란드
A49,포르투갈
A50,루마니아
A51,세르비아
A52,러시아
A53,사우디아라비아
A54,수단
A55,스웨덴
A56,싱가포르
A57,슬로베니아
A58,세네갈
A59,시리아
A60,태국
A61,튀니지
A62,터키
A63,타이완
A64,탄자니아
A65,우크라이나
A66,우르과이
A67,우즈베키스탄
A68,베네수엘라
A69,베트남
A70,바누아투
A71,
A99,기타
